scenario,repeat_seed,model,n_train,n_test,split_stratification_mode,accuracy,precision,recall,f1,roc_auc,pr_auc
scenario1_majority_ct_only,100,Logistic Regression,157,43,target_plus_cohort,0.7441860465116279,0.7222222222222222,0.6842105263157895,0.7027027027027027,0.8771929824561404,0.8808168767107059
scenario1_majority_ct_only,100,Random Forest,157,43,target_plus_cohort,0.6744186046511628,0.6666666666666666,0.5263157894736842,0.5882352941176471,0.8092105263157895,0.7823494294834199
scenario1_majority_ct_only,100,Gradient Boosting,157,43,target_plus_cohort,0.5813953488372093,0.5454545454545454,0.3157894736842105,0.4,0.6359649122807016,0.6645093516039022
scenario1_majority_ct_only,100,SVM (RBF),157,43,target_plus_cohort,0.6744186046511628,0.6666666666666666,0.5263157894736842,0.5882352941176471,0.7763157894736842,0.7716000603336832
scenario1_majority_ct_only,101,Logistic Regression,155,45,target_plus_cohort,0.5777777777777777,0.5294117647058824,0.45,0.4864864864864865,0.732,0.7334352027691593
scenario1_majority_ct_only,101,Random Forest,155,45,target_plus_cohort,0.6,0.55,0.55,0.55,0.688,0.6494609598490483
scenario1_majority_ct_only,101,Gradient Boosting,155,45,target_plus_cohort,0.6,0.5454545454545454,0.6,0.5714285714285714,0.6499999999999999,0.6426230653090907
scenario1_majority_ct_only,101,SVM (RBF),155,45,target_plus_cohort,0.6444444444444445,0.6,0.6,0.6,0.738,0.7246619347186498
scenario1_majority_ct_only,102,Logistic Regression,159,41,target_plus_cohort,0.5609756097560976,0.5,0.3333333333333333,0.4,0.5893719806763286,0.6330670636072115
scenario1_majority_ct_only,102,Random Forest,159,41,target_plus_cohort,0.6097560975609756,0.6,0.3333333333333333,0.42857142857142855,0.6908212560386473,0.6783925701496696
scenario1_majority_ct_only,102,Gradient Boosting,159,41,target_plus_cohort,0.6341463414634146,0.6153846153846154,0.4444444444444444,0.5161290322580645,0.6884057971014492,0.6436533742693163
scenario1_majority_ct_only,102,SVM (RBF),159,41,target_plus_cohort,0.6585365853658537,0.6666666666666666,0.4444444444444444,0.5333333333333333,0.6002415458937198,0.6553336655554859
scenario1_majority_ct_only,103,Logistic Regression,157,43,target_plus_cohort,0.7674418604651163,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7631578947368421,0.7361626542910018
scenario1_majority_ct_only,103,Random Forest,157,43,target_plus_cohort,0.627906976744186,0.5882352941176471,0.5263157894736842,0.5555555555555556,0.6820175438596491,0.6079529472319282
scenario1_majority_ct_only,103,Gradient Boosting,157,43,target_plus_cohort,0.5813953488372093,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5855263157894737,0.6114873654390043
scenario1_majority_ct_only,103,SVM (RBF),157,43,target_plus_cohort,0.6744186046511628,0.6470588235294118,0.5789473684210527,0.6111111111111112,0.7105263157894737,0.7137939917237246
scenario1_majority_ct_only,104,Logistic Regression,162,38,target_plus_cohort,0.7894736842105263,0.7272727272727273,0.8888888888888888,0.8,0.9027777777777779,0.8926919993586662
scenario1_majority_ct_only,104,Random Forest,162,38,target_plus_cohort,0.7368421052631579,0.6818181818181818,0.8333333333333334,0.75,0.8333333333333334,0.7874634602678978
scenario1_majority_ct_only,104,Gradient Boosting,162,38,target_plus_cohort,0.7105263157894737,0.6842105263157895,0.7222222222222222,0.7027027027027027,0.7861111111111112,0.7234360146491656
scenario1_majority_ct_only,104,SVM (RBF),162,38,target_plus_cohort,0.7105263157894737,0.7058823529411765,0.6666666666666666,0.6857142857142857,0.8333333333333334,0.8090907648995885
scenario1_majority_ct_only,105,Logistic Regression,158,42,target_plus_cohort,0.6904761904761905,0.75,0.47368421052631576,0.5806451612903226,0.7185354691075515,0.6867147534957556
scenario1_majority_ct_only,105,Random Forest,158,42,target_plus_cohort,0.7142857142857143,0.7058823529411765,0.631578947368421,0.6666666666666666,0.7643020594965675,0.7901783188700364
scenario1_majority_ct_only,105,Gradient Boosting,158,42,target_plus_cohort,0.6904761904761905,0.7142857142857143,0.5263157894736842,0.6060606060606061,0.6453089244851259,0.7052008645274899
scenario1_majority_ct_only,105,SVM (RBF),158,42,target_plus_cohort,0.6904761904761905,0.7142857142857143,0.5263157894736842,0.6060606060606061,0.6933638443935928,0.6668712906964214
scenario1_majority_ct_only,106,Logistic Regression,158,42,target_plus_cohort,0.6428571428571429,0.625,0.5263157894736842,0.5714285714285714,0.7505720823798626,0.7287117315080276
scenario1_majority_ct_only,106,Random Forest,158,42,target_plus_cohort,0.5952380952380952,0.5714285714285714,0.42105263157894735,0.48484848484848486,0.7299771167048055,0.6149661767541024
scenario1_majority_ct_only,106,Gradient Boosting,158,42,target_plus_cohort,0.5476190476190477,0.5,0.3157894736842105,0.3870967741935484,0.5812356979405034,0.5356605736728222
scenario1_majority_ct_only,106,SVM (RBF),158,42,target_plus_cohort,0.6666666666666666,0.7272727272727273,0.42105263157894735,0.5333333333333333,0.7299771167048055,0.6648723000057859
scenario1_majority_ct_only,107,Logistic Regression,158,42,target_plus_cohort,0.7857142857142857,0.7368421052631579,0.7777777777777778,0.7567567567567568,0.8171296296296297,0.8127634579967574
scenario1_majority_ct_only,107,Random Forest,158,42,target_plus_cohort,0.6428571428571429,0.5714285714285714,0.6666666666666666,0.6153846153846154,0.6921296296296297,0.5690061496358328
scenario1_majority_ct_only,107,Gradient Boosting,158,42,target_plus_cohort,0.5952380952380952,0.5238095238095238,0.6111111111111112,0.5641025641025641,0.6319444444444444,0.5258905463151387
scenario1_majority_ct_only,107,SVM (RBF),158,42,target_plus_cohort,0.6428571428571429,0.5789473684210527,0.6111111111111112,0.5945945945945946,0.7268518518518517,0.684784271759863
scenario1_majority_ct_only,108,Logistic Regression,159,41,target_plus_cohort,0.7317073170731707,0.875,0.4117647058823529,0.56,0.698529411764706,0.7183246698995585
scenario1_majority_ct_only,108,Random Forest,159,41,target_plus_cohort,0.6097560975609756,0.5333333333333333,0.47058823529411764,0.5,0.6862745098039216,0.6250607879146739
scenario1_majority_ct_only,108,Gradient Boosting,159,41,target_plus_cohort,0.5853658536585366,0.5,0.4117647058823529,0.45161290322580644,0.6078431372549019,0.5664984112993081
scenario1_majority_ct_only,108,SVM (RBF),159,41,target_plus_cohort,0.7073170731707317,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.6666666666666666,0.7403667702595882
scenario1_majority_ct_only,109,Logistic Regression,161,39,target_plus_cohort,0.6410256410256411,0.8333333333333334,0.2777777777777778,0.4166666666666667,0.7804232804232805,0.7865865796612923
scenario1_majority_ct_only,109,Random Forest,161,39,target_plus_cohort,0.6923076923076923,0.75,0.5,0.6,0.8015873015873016,0.8007396125629289
scenario1_majority_ct_only,109,Gradient Boosting,161,39,target_plus_cohort,0.5897435897435898,0.6,0.3333333333333333,0.42857142857142855,0.6058201058201058,0.5379486261832472
scenario1_majority_ct_only,109,SVM (RBF),161,39,target_plus_cohort,0.6153846153846154,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.6507936507936508,0.6583788593709948
scenario3_majority_ct_plus_demo,100,Logistic Regression,157,43,target_plus_cohort,0.6976744186046512,0.65,0.6842105263157895,0.6666666666666666,0.8179824561403508,0.8123972032765834
scenario3_majority_ct_plus_demo,100,Random Forest,157,43,target_plus_cohort,0.6744186046511628,0.6470588235294118,0.5789473684210527,0.6111111111111112,0.7807017543859649,0.7395572654899278
scenario3_majority_ct_plus_demo,100,Gradient Boosting,157,43,target_plus_cohort,0.5116279069767442,0.42857142857142855,0.3157894736842105,0.36363636363636365,0.6293859649122807,0.5770560404874439
scenario3_majority_ct_plus_demo,100,SVM (RBF),157,43,target_plus_cohort,0.6744186046511628,0.6666666666666666,0.5263157894736842,0.5882352941176471,0.7521929824561403,0.7822003842707275
scenario3_majority_ct_plus_demo,101,Logistic Regression,155,45,target_plus_cohort,0.8222222222222222,0.8,0.8,0.8,0.84,0.7914179587507972
scenario3_majority_ct_plus_demo,101,Random Forest,155,45,target_plus_cohort,0.6222222222222222,0.5789473684210527,0.55,0.5641025641025641,0.692,0.5955411456464272
scenario3_majority_ct_plus_demo,101,Gradient Boosting,155,45,target_plus_cohort,0.6444444444444445,0.6111111111111112,0.55,0.5789473684210527,0.73,0.7572635496619131
scenario3_majority_ct_plus_demo,101,SVM (RBF),155,45,target_plus_cohort,0.7111111111111111,0.7058823529411765,0.6,0.6486486486486487,0.746,0.7123237280862788
scenario3_majority_ct_plus_demo,102,Logistic Regression,159,41,target_plus_cohort,0.5853658536585366,0.5555555555555556,0.2777777777777778,0.37037037037037035,0.6207729468599034,0.5519006681808234
scenario3_majority_ct_plus_demo,102,Random Forest,159,41,target_plus_cohort,0.6585365853658537,0.75,0.3333333333333333,0.46153846153846156,0.6666666666666666,0.647512638624252
scenario3_majority_ct_plus_demo,102,Gradient Boosting,159,41,target_plus_cohort,0.5609756097560976,0.5,0.2222222222222222,0.3076923076923077,0.5821256038647343,0.5132614774214237
scenario3_majority_ct_plus_demo,102,SVM (RBF),159,41,target_plus_cohort,0.6097560975609756,0.6,0.3333333333333333,0.42857142857142855,0.608695652173913,0.598694203297698
scenario3_majority_ct_plus_demo,103,Logistic Regression,157,43,target_plus_cohort,0.7441860465116279,0.75,0.631578947368421,0.6857142857142857,0.7434210526315789,0.7108411485709041
scenario3_majority_ct_plus_demo,103,Random Forest,157,43,target_plus_cohort,0.6976744186046512,0.6666666666666666,0.631578947368421,0.6486486486486487,0.7192982456140351,0.6350600755205911
scenario3_majority_ct_plus_demo,103,Gradient Boosting,157,43,target_plus_cohort,0.627906976744186,0.6,0.47368421052631576,0.5294117647058824,0.6600877192982456,0.5957632185919193
scenario3_majority_ct_plus_demo,103,SVM (RBF),157,43,target_plus_cohort,0.6046511627906976,0.5714285714285714,0.42105263157894735,0.48484848484848486,0.6732456140350878,0.6451980221694831
scenario3_majority_ct_plus_demo,104,Logistic Regression,162,38,target_plus_cohort,0.7631578947368421,0.68,0.9444444444444444,0.7906976744186046,0.952777777777778,0.9578402706111686
scenario3_majority_ct_plus_demo,104,Random Forest,162,38,target_plus_cohort,0.7631578947368421,0.6956521739130435,0.8888888888888888,0.7804878048780488,0.8111111111111111,0.696121509695342
scenario3_majority_ct_plus_demo,104,Gradient Boosting,162,38,target_plus_cohort,0.7631578947368421,0.6956521739130435,0.8888888888888888,0.7804878048780488,0.8111111111111111,0.7465052366399564
scenario3_majority_ct_plus_demo,104,SVM (RBF),162,38,target_plus_cohort,0.7894736842105263,0.7083333333333334,0.9444444444444444,0.8095238095238095,0.8305555555555556,0.7500709217969279
scenario3_majority_ct_plus_demo,105,Logistic Regression,158,42,target_plus_cohort,0.7380952380952381,0.75,0.631578947368421,0.6857142857142857,0.8260869565217391,0.7875026979748736
scenario3_majority_ct_plus_demo,105,Random Forest,158,42,target_plus_cohort,0.7380952380952381,0.75,0.631578947368421,0.6857142857142857,0.7757437070938215,0.7842660140572852
