scenario,scenario_number,repeat_seed,model,n_train,n_test,split_stratification_mode,accuracy,precision,recall,f1,roc_auc,pr_auc,rmse,mae,r2
scenario1_majority_ct_only,1,100,Logistic Regression,157,43,target_plus_cohort,0.7441860465116279,0.7222222222222222,0.6842105263157895,0.7027027027027027,0.8771929824561404,0.8808168767107059,,,
scenario1_majority_ct_only,1,100,Random Forest,157,43,target_plus_cohort,0.6744186046511628,0.6666666666666666,0.5263157894736842,0.5882352941176471,0.8092105263157895,0.7823494294834199,,,
scenario1_majority_ct_only,1,100,Gradient Boosting,157,43,target_plus_cohort,0.5813953488372093,0.5384615384615384,0.3684210526315789,0.4375,0.5986842105263157,0.6461240581862178,,,
scenario1_majority_ct_only,1,100,SVM (RBF),157,43,target_plus_cohort,0.6744186046511628,0.6666666666666666,0.5263157894736842,0.5882352941176471,0.7763157894736842,0.7716000603336832,,,
scenario1_majority_ct_only,1,101,Logistic Regression,155,45,target_plus_cohort,0.5777777777777777,0.5294117647058824,0.45,0.4864864864864865,0.732,0.7334352027691593,,,
scenario1_majority_ct_only,1,101,Random Forest,155,45,target_plus_cohort,0.6,0.55,0.55,0.55,0.688,0.6494609598490483,,,
scenario1_majority_ct_only,1,101,Gradient Boosting,155,45,target_plus_cohort,0.6,0.5454545454545454,0.6,0.5714285714285714,0.646,0.6412699390333638,,,
scenario1_majority_ct_only,1,101,SVM (RBF),155,45,target_plus_cohort,0.6444444444444445,0.6,0.6,0.6,0.738,0.7246619347186498,,,
scenario1_majority_ct_only,1,102,Logistic Regression,159,41,target_plus_cohort,0.5609756097560976,0.5,0.3333333333333333,0.4,0.5893719806763286,0.6330670636072115,,,
scenario1_majority_ct_only,1,102,Random Forest,159,41,target_plus_cohort,0.6097560975609756,0.6,0.3333333333333333,0.42857142857142855,0.6908212560386473,0.6783925701496696,,,
scenario1_majority_ct_only,1,102,Gradient Boosting,159,41,target_plus_cohort,0.6585365853658537,0.6666666666666666,0.4444444444444444,0.5333333333333333,0.6884057971014492,0.645557039343589,,,
