feature,importance,importance_std,abs_importance,method
patient_age_years,0.2037878787878787,0.11195472897863458,0.2037878787878787,permutation_importance_test_auc
sex_binary,0.06666666666666665,0.024676511325609603,0.06666666666666665,permutation_importance_test_auc
BMI,-0.027651515151515167,0.033412869984849033,0.027651515151515167,permutation_importance_test_auc
height,0.01590909090909088,0.0326197729418348,0.01590909090909088,permutation_importance_test_auc
weight,0.013257575757575723,0.02890973015620029,0.013257575757575723,permutation_importance_test_auc
