feature,importance,importance_std,abs_importance,method
patient_age_years,0.27346491228070186,0.06266815892475512,0.27346491228070186,permutation_importance_test_auc
weight,-0.03742690058479524,0.04188513567859449,0.03742690058479524,permutation_importance_test_auc
BMI,-0.02134502923976601,0.03146469205104515,0.02134502923976601,permutation_importance_test_auc
sex_binary,-0.0032894736842104125,0.009900856377728851,0.0032894736842104125,permutation_importance_test_auc
height,0.000365497076023454,0.0018850580348285968,0.000365497076023454,permutation_importance_test_auc
