scenario,ground_truth,feature_set,model,task_type,n_train,n_test,accuracy,precision,recall,f1,roc_auc,pr_auc,rmse,mae,r2,note
10,Original surgeon only,CT-only,SVM (RBF),classification,161,39,0.4872,0.4375,0.3889,0.4118,0.5503,0.5041,,,,
11,Original surgeon only,Demographics-only,Gradient Boosting,classification,161,39,0.7949,0.75,0.8333,0.7895,0.754,0.7361,,,,
11,Original surgeon only,Demographics-only,Logistic Regression,classification,161,39,0.8205,0.7619,0.8889,0.8205,0.8095,0.8256,,,,
11,Original surgeon only,Demographics-only,Random Forest,classification,161,39,0.7949,0.75,0.8333,0.7895,0.746,0.7074,,,,
11,Original surgeon only,Demographics-only,SVM (RBF),classification,161,39,0.6923,0.625,0.8333,0.7143,0.7143,0.7099,,,,
12,Vote fraction,Demographics-only,Gradient Boosting Regressor,regression,158,42,0.5476,0.5,0.5263,0.5128,0.5927,,0.3359,0.2832,-0.0019,precision/recall/F1/accuracy/ROC-AUC computed at 0.5 vote-fraction threshold
12,Vote fraction,Demographics-only,Linear Regression,regression,158,42,0.5476,0.5,0.5263,0.5128,0.4554,,0.3481,0.304,-0.0757,precision/recall/F1/accuracy/ROC-AUC computed at 0.5 vote-fraction threshold
12,Vote fraction,Demographics-only,Random Forest Regressor,regression,158,42,0.619,0.5789,0.5789,0.5789,0.5469,,0.3549,0.2987,-0.1181,precision/recall/F1/accuracy/ROC-AUC computed at 0.5 vote-fraction threshold
12,Vote fraction,Demographics-only,SVR (RBF),regression,158,42,0.5476,0.5,0.4737,0.4865,0.5606,,0.3652,0.2994,-0.1844,precision/recall/F1/accuracy/ROC-AUC computed at 0.5 vote-fraction threshold
13,Vote fraction,CT + demographics,Gradient Boosting Regressor,regression,158,42,0.4762,0.3333,0.1579,0.2143,0.5721,,0.3558,0.3059,-0.1238,precision/recall/F1/accuracy/ROC-AUC computed at 0.5 vote-fraction threshold
13,Vote fraction,CT + demographics,Linear Regression,regression,158,42,0.5714,0.5333,0.4211,0.4706,0.659,,0.2875,0.2358,0.266,precision/recall/F1/accuracy/ROC-AUC computed at 0.5 vote-fraction threshold
13,Vote fraction,CT + demographics,Random Forest Regressor,regression,158,42,0.5,0.4167,0.2632,0.3226,0.5629,,0.3328,0.2862,0.0166,precision/recall/F1/accuracy/ROC-AUC computed at 0.5 vote-fraction threshold
13,Vote fraction,CT + demographics,SVR (RBF),regression,158,42,0.5238,0.4545,0.2632,0.3333,0.5423,,0.3314,0.2738,0.0247,precision/recall/F1/accuracy/ROC-AUC computed at 0.5 vote-fraction threshold
